,Data,Último
245,01.07.2005,26.042
246,01.06.2005,25.051
247,01.05.2005,25.207
248,01.04.2005,24.844
249,01.03.2005,26.611
250,01.02.2005,28.139
251,01.01.2005,24.351
252,01.12.2004,26.196
253,01.11.2004,25.128
254,01.10.2004,23.052
255,01.09.2004,23.245
256,01.08.2004,22.803
257,01.07.2004,22.337
258,01.06.2004,21.149
259,01.05.2004,19.545
260,01.04.2004,19.607
261,01.03.2004,22.142
262,01.02.2004,21.755
263,01.01.2004,21.851
264,01.12.2003,22.236
265,01.11.2003,20.184
266,01.10.2003,17.982
267,01.09.2003,16.011
268,01.08.2003,15.174
269,01.07.2003,13.572
270,01.06.2003,12.973
271,01.05.2003,13.422
272,01.04.2003,12.557
273,01.03.2003,11.274
274,01.02.2003,10.281
275,01.01.2003,10.941
276,01.12.2002,11.268
277,01.11.2002,10.509
278,01.10.2002,10.168
279,01.09.2002,8.623
280,01.08.2002,10.382
281,01.07.2002,9.763
282,01.06.2002,11.139
283,01.05.2002,12.861
284,01.04.2002,13.085
285,01.03.2002,13.255
286,01.02.2002,14.033
287,01.01.2002,12.721
288,01.12.2001,13.578
289,01.11.2001,12.932
290,01.10.2001,11.365
291,01.09.2001,10.636
292,01.08.2001,12.841
293,01.07.2001,13.754
294,01.06.2001,14.56
295,01.05.2001,14.65
296,01.04.2001,14.918
297,01.03.2001,14.438
298,01.02.2001,15.891
299,01.01.2001,17.673
